agency_id,name,long_name,short_name,active
CBW,CUYAMA BASIN WATER DISTRICT,CUYAMA BASIN WATER DISTRICT,CUYAMA WTR DIST,true
CCD,VC COMMUNITY COLLEGE DISTRICT,VC COMMUNITY COLLEGE DISTRICT,COLLEGES,true
CCR,COUNTY CLERK RECORDER ELECTIONS,COUNTY CLERK RECORDER ELECTIONS,CLK REC ELC,true
CDA,CA STATEWIDE COMM DEV AUTH,CA STATEWIDE COMM DEV AUTH,CSCDA,true
CED,CALIFORNIA ENTERPRISE DEVELOPMENT AUTHORITY,CALIFORNIA ENTERPRISE DEVELOPMENT AUTHORITY,CA ENT DEV AUTH,true
CEO,COUNTY EXECUTIVE OFFICE,COUNTY EXECUTIVE OFFICE,CEO,true
CFF,LOCAL CHILDREN FAMILIES FIRST COMMISSION,LOCAL CHILDREN FAMILIES FIRST COMMISSION,FAMLY FIRST,true
CGS,CARPINTERIA GROUNDWATER SUSTAINABILITY AGENCY,CARPINTERIA GROUNDWATER SUSTAINABILITY AGENCY,CARP GW SUSTAIN,true
CHC,CAMARILLO HEALTH CARE DISTRICT,CAMARILLO HEALTH CARE DISTRICT,CAM HLTH DST,true
CIB,CHANNEL ISLANDS BEACH COMMUNITY FACILITIES DISTRICT,CHANNEL ISLANDS BEACH COMMUNITY FACILITIES DISTRICT,CI BCH DST,true
CLW,CASTAIC LAKE WATER AGENCY,CASTAIC LAKE WATER AGENCY,CASTAIC WTR,true
CMF,CALIFORNIA MUNICIPAL FINANCE AUTHORITY,CALIFORNIA MUNICIPAL FINANCE AUTHORITY,CA MUN FIN AUTH,true
COC,CITY OF CAMARILLO,CITY OF CAMARILLO,CAMARILLO,true
COF,CITY OF FILLMORE,CITY OF FILLMORE,CITY OF FILLMOR,true
COM,CITY OF MOORPARK,CITY OF MOORPARK,CITY OF MPK,true
COO,CITY OF OJAI,CITY OF OJAI,CITY OF OJAI,true
COV,CITY OF VENTURA,CITY OF VENTURA,CITY OF VENTURA,true
COX,CITY OF OXNARD,CITY OF OXNARD,CITY OF OXNARD,true
CPH,CITY OF PORT HUENEME,CITY OF PORT HUENEME,PORT HUENEME,true
CRP,CONEJO RECREATION AND PARKS,CONEJO RECREATION AND PARKS,CONEJO REC,true
CRT,VENTURA COUNTY SUPERIOR COURT,VENTURA COUNTY SUPERIOR COURT,COURTS,true
CSC,CIVIL SERVICE COMMISSION,CIVIL SERVICE COMMISSION,CIV SERV COM,true
CSD,CARPINTERIA SANITARY DISTRICT,CARPINTERIA SANITARY DISTRICT,CARP SAN,true
CSL,COUNTY COUNSEL,COUNTY COUNSEL,CNTY COUNSEL,true
CSP,CITY OF SANTA PAULA,CITY OF SANTA PAULA,CITY OF S.PAULA,true
CSS,VC DEPARTMENT OF CHILD SUPPORT SERVICES,VC DEPARTMENT OF CHILD SUPPORT SERVICES,VCD CHILD SS,true
CSU,CSU CHANNEL ISLANDS SITE AUTHORITY,CSU CHANNEL ISLANDS SITE AUTHORITY,CSUCI SA,true
CSV,CITY OF SIMI VALLEY,CITY OF SIMI VALLEY,CITY SIMI VALLY,true
CTO,CITY OF THOUSAND OAKS,CITY OF THOUSAND OAKS,CITY OF TO,true
DAO,DISTRICT ATTORNEY,DISTRICT ATTORNEY,DIST ATTNY,true
FIL,FILLMORE PIRU MEMORIAL CEMETARY,FILLMORE PIRU MEMORIAL CEMETARY,FIL PIRU CEM,true
FOX,FOX CANYON GROUNDWATER MANAGEMENT AGENCY,FOX CANYON GROUNDWATER MANAGEMENT AGENCY,FOX CYN GRND,true
FPD,FIRE PROTECTION DISTRICT,FIRE PROTECTION DISTRICT,FIRE DST,true
FRM,FARM ADVISOR,FARM ADVISOR,FARM ADVISOR,true
GCH,GOLD COAST HEALTH PLAN,GOLD COAST HEALTH PLAN,GOLD COAST HPLN,true
GCT,GOLD COAST TRANSIT INVESTMENT,GOLD COAST TRANSIT INVESTMENT,GOLD CST INV,true
GRJ,GRAND JURY,GRAND JURY,GRAND JURY,true
GSA,GENERAL SERVICES AGENCY,GENERAL SERVICES AGENCY,GSA,true
GSF,GOLDEN STATE FINANCE AUTHORITY,GOLDEN STATE FINANCE AUTHORITY,GOLD ST FIN AUT,true
HAR,HARBOR DEPARTMENT,HARBOR DEPARTMENT,HARBOR,true
HCA,HEALTH CARE AGENCY,HEALTH CARE AGENCY,HEALTH CARE,true
HMW,HIDDEN VALLEY MUNICIPAL WATER DISTRICT,HIDDEN VALLEY MUNICIPAL WATER DISTRICT,HID VLY WTR,true
HRP,HR PAYROLL SYSTEM,HR PAYROLL SYSTEM,HR PAYROLL,true
HSA,HUMAN SERVICES AGENCY,HUMAN SERVICES AGENCY,HUMAN SVCS,true
IND,INDIGENT LEGAL SERVICE,INDIGENT LEGAL SERVICE,INDIGENT LG SVC,true
ITS,INFORMATION TECHNOLOGY SERVICES DEPARTMENT,INFORMATION TECHNOLOGY SERVICES DEPARTMENT,ITSD,true
LAF,LOCAL AGENCY FORMATION COMMISSION,LOCAL AGENCY FORMATION COMMISSION,LAFCO,true
LTF,LOCAL TRANSPORTATION FUND,LOCAL TRANSPORTATION FUND,LOCAL TRANS,true
LWL,LAW LIBRARY,LAW LIBRARY,LAW LIBRARY,true
MBG,MOUND BASIN GROUNDWATER SUSTAINABILITY AGENCY,MOUND BASIN GROUNDWATER SUSTAINABILITY AGENCY,MOUND BASIN GSA,true
MBS,VENTURA REGIONAL SANITATION DISTRICT MALIBU BAY CHARGE,VENTURA REGIONAL SANITATION DISTRICT MALIBU BAY CHARGE,VRSD MALIBU,true
MEO,MEDICAL EXAMINERS OFFICE,MEDICAL EXAMINERS OFFICE,MEDICAL EXAM,true
MET,METROPOLITAN WATER DISTRICT,METROPOLITAN WATER DISTRICT,METROPOL WTR,true
MMI,MONTALVO COMMUNITY SERVICE DISTRICT,MONTALVO COMMUNITY SERVICE DISTRICT,MONTALVO CSD,false
MOW,MEINERS OAKS COUNTY WATER DISTRICT,MEINERS OAKS COUNTY WATER DISTRICT,MEIN OAK WTR,true
MRC,MOUNTAINS RECREATION AND CONSERVATION AUTHORITY,MOUNTAINS RECREATION AND CONSERVATION AUTHORITY,MOUNT REC CONS,true
OHD,OXNARD HARBOR DISTRICT,OXNARD HARBOR DISTRICT,OXN HARBOR DIST,true
OVS,OJAI VALLEY SANITARY DISTRICT,OJAI VALLEY SANITARY DISTRICT,OJAI VLY SAN,true
OWC,OJAI BASIN GROUNDWATER CONSERVATION DISTRICT,OJAI BASIN GROUNDWATER CONSERVATION DISTRICT,OJAI GND WTR,true
OX2,OXNARD DRAINAGE DISTRICT 2,OXNARD DRAINAGE DISTRICT 2,OXN DRAIN 2,true
OX3,OXNARD DRAINAGE DISTRICT 3,OXNARD DRAINAGE DISTRICT 3,OXNARD DRAIN 3,false
OXD,OXNARD DRAINAGE DISTRICT 1,OXNARD DRAINAGE DISTRICT 1,OXN DRAIN 1,true
PCE,PIRU CEMETARY DISTRICT,PIRU CEMETARY DISTRICT,PIRU CEM,true
PDO,PUBLIC DEFENDER,PUBLIC DEFENDER,PUBL DEFEND,true
PFA,PUBLIC FINANCING AUTHORITY,PUBLIC FINANCING AUTHORITY,PFA,true
PTS,PROPERTY TAX ASSESSMENT AND COLLECTION SYSTEM,PROPERTY TAX ASSESSMENT AND COLLECTION SYSTEM,PTACS,true
PVC,PLEASANT VALLEY COUNTY WATER DISTRICT,PLEASANT VALLEY COUNTY WATER DISTRICT,PL VLY WTR,true
PVR,PLEASANT VALLEY RECREATION AND PARK DISTRICT,PLEASANT VALLEY RECREATION AND PARK DISTRICT,PL VLY REC,true
PWA,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY,PUBLIC WORKS,true
RET,VENTURA COUNTY EMPLOYEE RETIREMENT ASSOCIATION,VENTURA COUNTY EMPLOYEE RETIREMENT ASSOCIATION,VCERA,true
RMA,RESOURCE MANAGEMENT AGENCY,RESOURCE MANAGEMENT AGENCY,RMA,true
ROF,REDEV OBLIG RETIRE FD AB X126,REDEV OBLIG RETIRE FD AB X126,RORF ABX126,true
RSR,RANCHO SIMI RECREATION AND PARK DISTRICT,RANCHO SIMI RECREATION AND PARK DISTRICT,RCH SIMI REC,true
SAT,SATICOY SANITARY DISTRICT,SATICOY SANITARY DISTRICT,SATICOY SAN,true
SHF,SHERIFF,SHERIFF,SHERIFF,true
SHR,LAKE SHERWOOD DEBT SERVICE,LAKE SHERWOOD DEBT SERVICE,LAKE SHWD DS,true
SMR,RESOURCE CONSERVATION DISTRICT OF SANTA MONICA MOUNTAINS,RESOURCE CONSERVATION DISTRICT OF SANTA MONICA MOUNTAINS,ST MONCA RES,true
SRP,SUPPLEMENTAL RETIREMENT,SUPPLEMENTAL RETIREMENT,SUPL RETIRE,true
SVD,EL RANCHO SIMI PIONEER CEMETARY,EL RANCHO SIMI PIONEER CEMETARY,EL RNCHO CEM,true
TFS,TRIUNFO WATER AND SANITATION DISTRICT,TRIUNFO WATER AND SANITATION DISTRICT,TRIUNFO WTR SAN,true
TRJ,TODD ROAD JAIL EXPANSION,TODD ROAD JAIL EXPANSION,TRJ EXPANSION,true
TSA,TREASURY TRUST ADMINISTRATOR FOR SUCCESSOR AGENCY,TREASURY TRUST ADMINISTRATOR FOR SUCCESSOR AGENCY,TREASURY TA SA,true
TTC,TREASURER-TAX COLLECTOR,TREASURER-TAX COLLECTOR,TREAS TX COL,true
TTT,TREASURER TRUSTEE,TREASURER TRUSTEE,TREAS TRUSTEE,true
UVR,UPPER VENTURA RIVER GROUNDWATER AGENCY,UPPER VENTURA RIVER GROUNDWATER AGENCY,UPPER VTA RIVER,true
UWC,UNITED WATER CONSERVATION DISTRICT,UNITED WATER CONSERVATION DISTRICT,UNTD WTR CON,true
VCJ,VENTURA COUNTY INTEGRATED JUSTICE INFORMATION SYSTEM,VENTURA COUNTY INTEGRATED JUSTICE INFORMATION SYSTEM,VCIJIS,true
VCL,VENTURA COUNTY  LIBRARY,VENTURA COUNTY  LIBRARY,LIBRARY,true
VCP,VENTURA COUNTY PROBATION AGENCY,VENTURA COUNTY PROBATION AGENCY,PROBATION,true
VOE,VC OFFICE OF EDUCATION,VC OFFICE OF EDUCATION,VCOE,true
VPD,VENTURA PORT DISTRICT,VENTURA PORT DISTRICT,VTA PORT DST,true
VRC,VENTURA COUNTY RESOURCE CONSERVATION DISTRICT,VENTURA COUNTY RESOURCE CONSERVATION DISTRICT,VTA CO RES,true
VRS,VENTURA COUNTY REGIONAL SANITATION DISTRICT,VENTURA COUNTY REGIONAL SANITATION DISTRICT,VTA REG SAN,true
VRW,VENTURA RIVER COUNTY WATER,VENTURA RIVER COUNTY WATER,VTA RIVR WTR,true
VTC,VENTURA COUNTY TRANSPORTATION COMMISSION,VENTURA COUNTY TRANSPORTATION COMMISSION,TRANSPRT COM,true
WRC,WESTERN RIVERSIDE COUNCIL OF GOVERNMENTS,WESTERN RIVERSIDE COUNCIL OF GOVERNMENTS,W RIVERSIDE COG,true
